node_id,diagnostico,degree,betweenness,eigenvector
0,Enteritis debida a Salmonella,0.012607449856733524,0.0,0.0011184255664379865
1,Sepsis debida a Salmonella,0.012607449856733524,0.0,0.0011184255664379865
2,Enteritis debida a Campylobacter,0.017191977077363897,8.214820851186878e-07,0.002543508659390786
3,"Intoxicación alimentaria bacteriana, no especificada",0.014326647564469913,0.0,0.0020760957528007623
4,"Gastroenteritis y colitis infecciosas, no especificadas",0.02750716332378223,4.6002996766646506e-06,0.0036254209349759377
5,Tuberculosis del pulmón,0.004584527220630372,0.0,0.0006200355210962897
6,Tuberculosis respiratoria no especificada,0.001146131805157593,0.0,8.122602276577673e-05
7,Infección por micobacterias pulmonares,0.015472779369627506,0.0,0.0017663104897376297
8,Otras sepsis estreptocócicas,0.015472779369627506,0.0,0.0003909122162514785
9,Sepsis debida a Staphylococcus aureus resistente a meticilina,0.015472779369627506,0.0,0.0003909122162514785
10,Sepsis debida a otro estafilococo especificado,0.0057306590257879654,0.0,0.0006003594392414988
11,Sepsis debida a anaerobios,0.016045845272206302,0.0,0.001504822094513316
12,Sepsis por Escherichia coli [E. coli],0.04527220630372492,1.0755938767820685e-05,0.0035847004711909293
13,Sepsis por otros gram negativos,0.02636103151862464,1.7524951149198668e-06,0.0017190625186408973
14,Otras sepsis especificadas,0.012607449856733524,0.0,0.0011184255664379865
15,"Sepsis, microorganismo no especificado",0.12206303724928366,0.00035594403858250765,0.023061562356146936
16,"Infección por Staphylococcus aureus resistente a meticilina, localización no especificada",0.004584527220630372,0.0,0.0006716173593253894
17,Neurosífilis no especificada,0.011461318051575931,0.0,0.001470651847833036
18,Encefalitis herpética,0.011461318051575931,0.0,0.0015783944847294169
19,Otro tipo de afectación posherpética del sistema nervioso,0.0074498567335243545,0.0,0.0003361344727982163
20,"Verruga viral, no especificada",0.006876790830945558,0.0,0.0009853008579023793
21,"Hepatitis vírica crónica tipo B, sin agente delta",0.022349570200573064,0.0,0.0031856686281503876
22,Hepatitis vírica crónica tipo C,0.13581661891117477,0.0012044671090996112,0.04246339486912915
23,"Hepatitis vírica B no especificada, sin coma hepático",0.003438395415472779,0.0,0.00025497714958226073
